제목	본문요약
덴마크 "유로 2020 관중 5명, 델타 변이 확진"	인도발 코로나19 델타 변이가 전 세계적으로 확산하는 가운데, 2020 유럽축구선수권대회() 관중에서 감염 사례가 확인되고 있다. 24일(현지시간) AP통신에 따르면 덴마크 보건당국은 지난 17일 코펜하겐 파르켄...
4,000명 모였는데···유로 2020 관람객서 코로나 확진자 나와	유럽에서 열리고 있는 2020 유럽축구선수권대회()를 현장에서 관람한 이들 가운데 코로나19 확진자가 나왔다. 백신에 힘입어 비교적 가라앉은 코로나19가 다시 확산하는 것 아니냐는 우려가 나온다. 25일(현지...
'무득점' 케인의 각오 "토트넘과 연락 끊었다" [유로2020]	26일(이하 한국시각) 해리 케인이 이적 문제 때문에 UEFA 에 집중하지 못하는 것 아니냐는 일부 전문가와 팬들의 의견에 정면으로 맞섰다. 독일과의 UEFA  16강전을 앞두고 영국 BBC와 인터뷰를 진행한...
레반도프스키, 유로 조별리그 활약상 1위...더 브라위너 2위	조별리그서 최고의 활약을 펼친 20명의 주인공이 공개됐다. 영국 축구전문 매체인 90민은 26일 공식 SNS에 축구통계업체 옵타의 데이터를 바탕으로 서 최고의 활약을 펼친 20명을 공개했다. 1위는...
[유로2020 16강 프리뷰] '돌풍' 웨일스 vs '기적' 덴마크	요아킴 메흘레-야닉 베스테르고르-시몬 키예르-안드레아스 크리스텐센-다니엘 바스, 피에르 에밀 호이비에르-토마스 델라이니, 유수프 포울센-미켈 담스고르-마르틴 브레스웨이트 사진= 공식 홈페이지/AP/연합뉴스
'잉vs프' 슈퍼컴이 예측한 유로 2020 결승 대진&우승팀은?	슈퍼 컴퓨터가 예상한 이번  우승팀은?   결승전 대진은 잉글랜드 VS 프랑스 / 그리고 우승팀은 프랑스   16강 빅매치에 벨기에는 포르투갈 상대 승리 / 잉글랜드는 독일에 승 [골닷컴] 박문수 기자 = 이제는...
'우승후보 대격돌'… 유로2020 16강 빅매치 관전 포인트	유럽 최고의 팀을 가리는 이 지난 24일(이하 한국시각) 조별라운드 일정을 모두 마쳤다. 오는 27일부터 16강 토너먼트가 시작된 치른다. 토너먼트는 단판 승부다. 따라서 전력도 중요하지만 선수들의...
혹시 축구 마니아? 유로2020 이 경기는 꼭 봐야 해	피파랭킹 1위이자 2018 러시아 월드컵 3위 벨기에와 지난 대회 을 제패했던 피파랭킹 5위 포르투갈이 8강 진출권을 놓고 격돌하게 된 것이다. 벨기에는 이번 대회 에이스 에덴 아자르가 다소 부진하지만 로멜로...
슈퍼컴퓨터 예측 "잉글랜드 결승 진출" [유로2020]	영국 더 선은 26일(한국시각) 슈퍼컴퓨터가 예측한 UEFA 의 우승팀을 공개했다. bettingexpert.com의 슈퍼컴퓨터는 16강 독일전 잉글랜드의 승리를 점쳤다. 슈퍼컴퓨터는 독일을 물리친 잉글랜드가 8강에서...
프랑스·독일·포르투갈…유로 '죽음의 조' 3팀 다 살아남았다	포르투갈과 프랑스는 24일(이하 한국시간) 헝가리 부다페스트 푸스카스 아레나에서 열린  F조 최종전에서 2-2로 비겼다. 프랑스는 1승2무(승점 5)를 확보, 조 1위로 16강에 진출했다. 1승1무1패(승점 4)가 된...
유로 2020 조별리그 베스트 11 공개…최고는 호날두	조별리그 최고의 선수는 크리스티아누 호날두(포르투갈, 유벤투스)였다. 유럽축구연맹(UEFA)은 25일(한국시간) 판타지 게임 포인트를 바탕으로  조별리그 베스트 11을 선정했다. 판타지 게임 포인트는 골...
