페이지	키워드	제목	URL
1	킥보드	스윙, 마이크로킥보드와 리미티드 패키지 3종 출시	
1	킥보드	[단독] 'T맵'으로도 공유킥보드 '씽씽·지쿠터' 탄다	
1	킥보드	'재난탈출 생존왕' 박명수, 킥보드 불법주행 외국인에 뒷걸음질한 사연은?	
1	킥보드	'생존왕' 박명수, 킥보드 불법주행 외국인에 호통치려다 뒷걸음질	
1	킥보드	박명수, '킥보드 불법주행' 외국인에 호통 "가만 안 둔다고" (생존왕)[포인트:컷]	
1	킥보드	'재난탈출 생존왕' 박명수, 전동킥보드 단속 나섰다	
1	킥보드	박명수, 그놈의 영어 때문에...호통치려다 뒷걸음질	
1	킥보드	‘공유킥보드 헬멧규제’에 업계가 대처하는 법	
1	킥보드	공유킥보드 스윙, 마이크로킥보드와 리미티드 패키지 3종 출시	
1	킥보드	스윙(SWING), 마이크로킥보드와 리미티드 패키지 3종 출시	
2	킥보드	[풀뿌리상권 살려내자]`이천 도자예술마을`에서 공예체험·도자기 쇼핑 한번에 누리세요	
2	킥보드	법 강화에도…전동 킥보드 불법운행 여전	
2	킥보드	이용률 반토막 공유킥보드...업체별 돌파구는?	
2	킥보드	우리 미래세대 알파세대 손자와 동행	
2	킥보드	美 공유킥보드 버드, 전기 자전거 출시	
2	킥보드	[모빌리티 인사이트] 알아서 날아가는 항공기가 있습니다	
2	킥보드	[보행자는 빨간 신호등①] '일단스톱' 문화 정착 절실	
2	킥보드	경기도의원들, 이동식 스튜디오 ‘정책편의점’서 정책꾸러미 펼쳐	
2	킥보드	전동킥보드-자동차 충돌때… ’이러면' 100% 킥보드 과실	
2	킥보드	제천지역 전동 킥보드 경찰 단속 외면으로 불법 운행 여전	
3	킥보드	광양시 관내 공유킥보드 불법 이용 '횡횡'	
3	킥보드	[스타트업] 뉴빌리티(Neubility), 용기 있는 피벗(Pivot)이 존버보다 낫다	
3	킥보드	적색신호에 무단횡단한 킥보드, 과실 100%	
3	킥보드	상주시, 전기자전거 등 제조 '이엠이홀딩스' MOU	
3	킥보드	전동 킥보드 단속 한 달 넘었는데…노헬멧·인도주행 여전	
3	킥보드	손보협회, 전동 킥보드 등 교통사고 과실비율 기준 마련·공개	
3	킥보드	[안전TV] MBC TV '생방송 오늘아침', 아파트 투척 사고 원인과 대처 방안은	
3	킥보드	[생활경제캠페인-59] 빔모빌리티, 장마철 대비 안전 가이드라인 리뉴얼	
3	킥보드	아파트 묻지마 투척 사고... 원인과 대처 방안	
3	킥보드	[인터뷰] 안국약품 갤러리AG 신진작가상 류승진 작가	
4	킥보드	제주도, 이준석 대표 “제주의 CFI 2030 정책, 세계 선도하는 모델 되길”	
4	킥보드	하이킥-공주시, 공유킥보드 안전 캠페인 진행	
4	킥보드	공유킥보드 하이킥, 공주시-공주경찰서와 안전문화 선도	
4	킥보드	원희룡, 이준석과 연일 동행…'7월 지사직 사퇴·출마 선언'	
4	킥보드	전동킥보드, 적신호에 횡단보도 건너다 차 사고나면 100% 과실	
4	킥보드	킥보드 탄 이준석 대표 "제 2공항 정상추진"	
4	킥보드	차량 충돌 시 과실 비율은?…전동 킥보드 A to Z	
4	킥보드	인도 달리는 킥보드, 차량 충돌시 과실은?	
4	킥보드	"멤버십부터 대리·항공권까지"...달아오른 모빌리티 플랫폼 경쟁	
4	킥보드	"킥보드 타고 신호 어겼다가 수억원 날린다… 100% 가해자 과실"	
5	킥보드	"킥보드 타고 신호 어겼다가 수억원 날린다… 100% 가해자 과실"	
5	킥보드	전동킥보드와 자동차, 자전거용 횡단보도 사고 시 과실 비율은?	
5	킥보드	자신만만 국민의힘, 尹 구애 대신 자강론…유승민 뜨고 원희룡 시동	
5	킥보드	전동킥보드 신호위반 사고땐 100% 책임	
5	킥보드	中영사 음주운전 걸리자 “공무 중… 면책특권”	
5	킥보드	킥보드, 신호위반-중앙선침범해 車와 사고땐 ‘100% 과실’	
5	킥보드	킥보드, 빨간불에 횡단보도 사고땐 100% 과실	
5	킥보드	[Biz & Now] 손보협회, 킥보드와 자동차 교통사고 과실비율 기준 마련	
5	킥보드	원희룡 만난 이준석, 당내 주자 띄우기…이재명에 견제구	
5	킥보드	원희룡 지사, 이준석 국민의 힘 대표 만나고 자신감 '뿜뿜'	
6	킥보드	킥보드 탄 이준석 대표 "제 2공항 정상추진"	
6	킥보드	[백브리핑] 이준석의 달라진 글씨체…'이번엔 또박또박?'	
6	킥보드	빨간불에 건너다 차 사고 나면…100% '킥보드 책임'	
6	킥보드	킥보드로 무단 횡단하다 접촉 사고 나면··· 과실 책임은	
6	킥보드	킥보드와 차량, 둘 다 신호위반 충돌…과실 비율은?	
6	킥보드	이준석, 제주 4·3 공원 참배…유승민은 깜짝 '2위'	
6	킥보드	전동킥보드 헬멧 착용 시민 참여 절실	
6	킥보드	도심 누비는 킥보드, 중앙선 침범·신호 위반 사고땐 100% 책임	
6	킥보드	이윤지 딸 라니, 엄마 따라 하고픈 7살 "팔찌 가져도 돼?"	
6	킥보드	원희룡 "이준석 등장으로 달라지고 있는 국민의 힘"	
7	킥보드	'치과의사♥' 이윤지 딸 라니, 7살 되더니 더 엄마 복붙이네 "엄마 팔찌 가져도 돼?"	
7	킥보드	중국 영사 음주운전 적발..면책 특권 주장	
7	킥보드	원희룡 “이준석 등장으로 달라지고 있는 국민의힘”	
7	킥보드	[단독]카카오모빌리티 '카카오T 퀵' 30일부터 달린다	
7	킥보드	술 마시고 운전한 외교관, 확인해 보니 '중국' 영사였다	
7	킥보드	빔모빌리티, 장마철 대비 공유킥보드 안전 가이드라인 수립	
7	킥보드	강원경찰, 개인형 이동장치 위반행위 집중 단속	
7	킥보드	제주도 찾은 이준석… 원희룡 등 당내 주자 '띄우기'	
7	킥보드	빔모빌리티, 공유킥보드 장마철 안전 더 챙긴다	
7	킥보드	제주에서 만난 이준석·원희룡…"이재명의 선심쓰기 정책 맞서야"	
8	킥보드	'전동킥보드로 무단횡단'…車사고나면 100% 과실	
8	킥보드	전동킥보드, 횡단보도에서 차 사고 나면 100:0 과실…"과실 비율 확인 必"	
8	킥보드	원희룡 만나 킥보드 탄 이준석 "X파일 후폭풍? 尹, 우리 당사람 아냐"···입당 간접 압박?	
8	킥보드	원희룡 "이준석 등장으로 달라지고 있는 국민의힘 느꼈다"	
8	킥보드	'제주찾은' 이준석 "더 노력할것"…원희룡 "달라지고 있는 국민의힘 느껴"	
8	킥보드	신은호 인천시의회 의장, 킥보드 안전이용 챌린지 동참	
8	킥보드	이재명한텐 오지 말라더니…이준석 버선발로 맞이한 원희룡	
8	킥보드	이준석 국민의힘 대표, 제주 신재생에너지홍보관 방문	
8	킥보드	빔모빌리티, 장마철 대비 안전 가이드라인 수립	
8	킥보드	원희룡 "이제 시작, 제주 넘어 대한민국 혁신 완성하겠다"	
9	킥보드	교차로 들어선 후 차와 부딪치면 킥보드 70% 과실	
9	킥보드	빔모빌리티, 장마철 전동킥보드 "안전 가이드라인" 보강	
9	킥보드	켈리앤스테판, 유아.어린이 킥보드 여름맞이 최대50% 특별할인행사	
9	킥보드	[FFTK2021]푸드 리더십, 푸드테크 비전을 현실로 이끈다	
9	킥보드	적색불에 횡단보도 건너는 킥보드...차 사고시 일방과실	
9	킥보드	전동 킥보드, 횡단보도서 차량 충돌시 100% 과실	
9	킥보드	[포토] 이준석 대표, 원희룡 지사와 전동킥보드 타고 해안도로 '씽씽'	
9	킥보드	천안 어린이 교통사고 위험 요인 '불법주정차' 우선 손꼽아	
9	킥보드	빔모빌리티, 장마철 대비 공유킥보드 안전 가이드라인 보강	
9	킥보드	전동 킥보드 타는 원희룡도지사와 이준석 대표 [TF사진관]	
10	킥보드	손해보험협회, 전동킥보드와 자동차 사고 과실 비율 마련	
10	킥보드	이준석 "제주의 CFI 2030 정책, 세계를 선도하는 모델이 되길"	
10	킥보드	이준석, 원희룡과 킥보드 타고 청년 간담회…'尹 X파일'엔 "대응 계획 없어"	
10	킥보드	"PM 이용·사고 급증"...손보협회, 과실비율 기준 공개	
10	킥보드	빨간불에 횡단보도 건너다 차에 친 전동킥보드, 100% 과실	
10	킥보드	이준석 대표 "제주의 CFI정책, 세계 선도하는 모델 되길"	
10	킥보드	손보협회, 車vs전동킥보드 교통사고 과실비율 기준 마련	
10	킥보드	빔모빌리티, 장마철 대비 안전 가이드라인 수립	
10	킥보드	빔모빌리티, 장마철 대비 공유킥보드 안전 가이드라인 보강	
10	킥보드	전동 킥보드, 적색 신호 횡단보도서 차 사고땐 ‘일방과실’	
11	킥보드	광주 주재 중국 영사 음주운전 적발...경찰 "면책대상 여부 확인중"	
